Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/16/2022 15:44:42
Elapsed Time,00:00:59:998
Samples,20412

--Statistics--
Minimum [W],5.1409E-06
Maximum [W],1.3355E-05
Mean [W],9.9362E-06
Standard Deviation [W],2.3158E-06
Ratio,2.598 : 1

--Graph Data--
Time (ms),Power (W)
716.792,9.4101E-06
719.792,8.3862E-06
721.792,7.5649E-06
724.792,6.8798E-06
727.792,6.3025E-06
729.792,5.823E-06
732.792,5.3731E-06
735.792,6.7986E-06
738.792,8.2688E-06
741.792,9.555E-06
743.792,1.0479E-05
746.792,1.1246E-05
749.792,1.091E-05
752.227,1.0533E-05
756.227,1.1544E-05
760.227,1.2593E-05
763.227,1.3066E-05
766.227,1.1769E-05
768.227,1.0467E-05
771.227,1.143E-05
774.227,1.2146E-05
777.227,1.2768E-05
780.227,1.2473E-05
783.227,1.0573E-05
785.227,9.3023E-06
788.227,8.2923E-06
791.227,7.385E-06
794.227,6.7246E-06
796.227,6.1645E-06
799.227,5.6569E-06
802.227,5.2931E-06
805.227,7.003E-06
807.227,8.5752E-06
810.227,9.6737E-06
813.227,1.0579E-05
816.227,1.1329E-05
818.227,1.0552E-05
821.227,1.0556E-05
824.227,1.1546E-05
827.227,1.2218E-05
830.227,1.2702E-05
832.227,1.3071E-05
835.227,1.1079E-05
838.227,1.0955E-05
841.227,1.1784E-05
844.227,1.2419E-05
846.227,1.2923E-05
849.227,1.1993E-05
854.227,9.2797E-06
857.227,8.1534E-06
860.227,7.2781E-06
863.227,6.6488E-06
865.227,6.1156E-06
868.227,5.6116E-06
871.227,5.5969E-06
874.227,7.3952E-06
877.227,8.7286E-06
880.231,9.9183E-06
884.231,1.1414E-05
887.231,1.0554E-05
890.231,1.0846E-05
892.231,1.1674E-05
895.231,1.2256E-05
898.231,1.2734E-05
901.231,1.3115E-05
904.231,1.1326E-05
907.231,1.1112E-05
910.231,1.1907E-05
913.231,1.2583E-05
916.231,1.3105E-05
918.231,1.1384E-05
921.231,9.9307E-06
924.231,8.8071E-06
926.231,7.8937E-06
929.231,7.1458E-06
931.231,6.528E-06
934.231,6.0045E-06
937.231,5.5642E-06
940.231,5.6249E-06
942.231,7.4146E-06
945.231,8.7437E-06
948.231,9.931E-06
951.231,1.079E-05
953.231,1.1507E-05
956.231,1.0187E-05
959.231,1.0847E-05
961.231,1.1662E-05
964.231,1.2242E-05
967.231,1.2725E-05
973.231,1.0891E-05
975.231,1.1016E-05
978.231,1.1833E-05
981.231,1.2459E-05
983.231,1.2956E-05
986.231,1.1979E-05
988.231,1.0361E-05
991.231,9.1381E-06
994.231,8.0462E-06
997.231,7.2645E-06
1000.231,6.6301E-06
1002.743,6.1105E-06
1005.743,5.6636E-06
1009.743,6.6171E-06
1012.743,8.1262E-06
1015.743,9.3096E-06
1017.743,1.0278E-05
1020.743,1.1079E-05
1023.743,1.1194E-05
1026.743,1.0364E-05
1029.743,1.1423E-05
1032.743,1.2199E-05
1035.743,1.2688E-05
1037.743,1.3097E-05
1040.743,1.1444E-05
1043.743,1.0592E-05
1046.743,1.1622E-05
1049.743,1.2366E-05
1051.743,1.2882E-05
1054.743,1.2187E-05
1057.743,1.0511E-05
1059.743,9.257E-06
1062.743,8.2718E-06
1065.743,7.369E-06
1068.743,6.7098E-06
1070.743,6.1639E-06
1073.743,5.6485E-06
1076.743,5.2632E-06
1079.743,7.0287E-06
1081.743,8.4394E-06
1084.743,9.5644E-06
1087.743,1.059E-05
1090.743,1.1339E-05
1093.743,1.05E-05
1095.743,1.0856E-05
1098.743,1.168E-05
1101.743,1.2258E-05
1104.743,1.2792E-05
1109.743,1.1501E-05
1112.743,1.0776E-05
1114.743,1.166E-05
1117.743,1.2325E-05
1120.743,1.2907E-05
1123.743,1.209E-05
1125.743,1.0447E-05
1128.752,9.1991E-06
1133.752,8.215E-06
1138.752,6.3756E-06
1141.752,5.8405E-06
1144.752,5.3964E-06
1146.752,6.4127E-06
1149.752,7.9726E-06
1152.752,9.321E-06
1155.752,1.0394E-05
1158.752,1.1175E-05
1161.752,1.0999E-05
1164.752,1.0685E-05
1166.752,1.1556E-05
1169.752,1.2227E-05
1172.752,1.271E-05
1175.752,1.303E-05
1178.752,1.1025E-05
1181.752,1.1024E-05
1184.752,1.1839E-05
1186.752,1.2462E-05
1189.752,1.2959E-05
1192.752,1.2104E-05
1195.752,1.0274E-05
