Serial Number,SDS101P2150051
Software Version,5.01.02.30
-0.046919997,0.728
-0.0469,0.736
-0.04688,0.752
-0.046859997,0.752
-0.046839997,0.744
-0.04682,0.752
-0.0468,0.752
-0.046779997,0.744
-0.04676,0.744
-0.04674,0.744
-0.046719997,0.736
-0.046699997,0.744
-0.04668,0.736
-0.04666,0.728
-0.046639997,0.736
-0.04662,0.736
-0.0466,0.744
-0.046579997,0.752
-0.04656,0.76
-0.04654,0.784
-0.04652,0.784
-0.046499997,0.808
-0.04648,0.808
-0.04646,0.824
-0.046439997,0.816
-0.04642,0.824
-0.0464,0.824
-0.046379997,0.816
-0.046359997,0.824
-0.04634,0.816
-0.04632,0.808
-0.046299997,0.808
-0.04628,0.792
-0.04626,0.784
-0.046239997,0.784
-0.046219997,0.776
-0.0462,0.776
-0.04618,0.736
-0.046159997,0.736
-0.04614,0.72
-0.04612,0.712
-0.046099997,0.688
-0.04608,0.688
-0.04606,0.672
-0.04604,0.672
-0.046019997,0.648
-0.046,0.64
-0.04598,0.632
-0.045959997,0.616
-0.04594,0.608
-0.04592,0.592
-0.045899997,0.592
-0.045879997,0.584
-0.04586,0.576
-0.04584,0.576
-0.045819997,0.56
-0.0458,0.552
-0.04578,0.56
-0.045759997,0.544
-0.045739997,0.552
-0.04572,0.56
-0.0457,0.544
-0.045679997,0.552
-0.04566,0.56
-0.04564,0.544
-0.045619997,0.544
-0.045599997,0.544
-0.04558,0.544
-0.04556,0.544
-0.045539997,0.544
-0.04552,0.544
-0.0455,0.544
-0.045479997,0.544
-0.04546,0.544
-0.04544,0.544
-0.04542,0.544
-0.045399997,0.544
-0.04538,0.552
-0.04536,0.552
-0.045339997,0.544
-0.04532,0.568
-0.0453,0.56
-0.045279997,0.552
-0.045259997,0.568
-0.04524,0.56
-0.04522,0.576
-0.045199997,0.592
-0.04518,0.592
-0.04516,0.608
-0.045139997,0.64
-0.045119997,0.648
-0.0451,0.664
-0.04508,0.68
-0.045059997,0.704
-0.04504,0.704
-0.04502,0.704
-0.044999997,0.712
-0.04498,0.704
-0.04496,0.688
-0.04494,0.68
-0.044919997,0.672
-0.0449,0.656
-0.04488,0.648
-0.044859997,0.64
-0.04484,0.624
-0.04482,0.608
-0.044799997,0.632
-0.044779997,0.64
-0.04476,0.64
-0.04474,0.664
-0.044719997,0.68
-0.0447,0.672
-0.04468,0.704
-0.044659997,0.696
-0.044639997,0.704
-0.04462,0.704
-0.0446,0.704
-0.044579997,0.704
-0.04456,0.696
-0.04454,0.704
-0.044519997,0.688
-0.044499997,0.688
-0.04448,0.696
-0.04446,0.68
-0.044439997,0.68
-0.04442,0.688
-0.0444,0.68
-0.044379997,0.672
-0.04436,0.68
-0.04434,0.656
-0.04432,0.672
-0.044299997,0.672
-0.04428,0.68
-0.04426,0.68
-0.044239997,0.672
