Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/11/2022 15:41:50
Elapsed Time,00:00:59:996
Samples,16994

--Statistics--
Minimum [W],-2.9618E-07
Maximum [W],4.0231E-06
Mean [W],7.4637E-07
Standard Deviation [W],1.1362E-06
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,-7.4052E-09
4.000,2.4673E-09
9.000,1.0243E-07
12.000,6.2752E-07
15.000,1.8449E-06
18.000,3.0472E-06
21.000,-6.1793E-10
24.000,1.8502E-09
28.000,9.5631E-09
30.000,-2.0672E-08
34.000,3.336E-06
37.000,2.4894E-06
39.000,3.5143E-06
43.000,2.5326E-06
46.000,2.4989E-08
49.000,4.1649E-08
51.000,1.1723E-08
54.000,1.4808E-08
57.000,1.3265E-08
61.000,2.5915E-08
64.000,1.2031E-08
67.000,6.5405E-08
70.000,7.0033E-08
73.000,-3.7023E-08
76.000,2.2829E-08
79.000,1.8502E-09
83.000,1.1313E-06
86.000,9.5116E-07
90.000,6.3061E-07
93.000,2.8383E-08
96.000,1.3882E-08
100.000,-4.2576E-08
104.000,2.7507E-06
107.000,2.5298E-06
110.000,3.6029E-06
115.836,9.3635E-07
123.836,1.2332E-09
126.836,-6.7882E-09
129.836,3.6926E-06
132.836,3.0839E-06
135.836,2.316E-06
138.836,3.2919E-06
141.836,-1.852E-09
144.836,1.2957E-08
147.836,1.1631E-07
150.836,1.3574E-08
153.836,1.2031E-08
156.836,7.3118E-08
159.836,-3.2704E-08
162.836,4.3184E-09
165.836,1.1909E-07
170.836,-4.1034E-08
173.836,1.9436E-08
176.836,6.8984E-07
179.836,7.3705E-07
182.836,8.4287E-07
185.836,1.2103E-06
188.836,1.6659E-08
192.836,-5.8626E-09
195.836,5.244E-09
199.836,2.5505E-06
203.836,1.5849E-06
207.836,1.6135E-06
210.836,5.9389E-07
214.836,1.2648E-08
217.836,1.1723E-08
220.836,9.2546E-09
223.836,3.58E-06
227.836,3.1725E-06
230.836,2.6335E-06
234.836,2.7402E-06
237.472,1.6351E-08
242.472,-1.5118E-08
255.472,-9.8734E-09
259.472,7.4036E-09
262.472,3.3627E-08
265.472,3.1159E-08
267.472,8.6376E-09
270.472,7.0465E-07
273.472,1.6216E-06
276.472,6.1025E-07
279.472,1.6197E-06
282.472,-2.2214E-08
285.472,-1.882E-08
288.472,-3.703E-09
291.472,-1.1107E-08
294.472,2.6844E-06
297.472,6.1456E-07
300.472,9.8509E-07
303.472,1.2803E-06
306.472,9.2468E-10
309.472,9.2546E-09
312.472,2.5298E-08
316.472,2.1588E-09
320.472,2.491E-06
323.472,2.0766E-06
327.472,2.3558E-06
330.472,1.16E-07
334.472,-1.1725E-08
337.472,2.3446E-08
340.472,7.065E-08
344.472,-2.9618E-08
347.472,1.1261E-07
351.472,7.7437E-08
355.472,8.9461E-09
360.472,1.1106E-08
365.811,1.0891E-07
373.811,1.7407E-06
377.811,-1.0799E-08
380.811,1.3265E-08
383.811,1.851E-08
386.811,1.018E-08
389.811,5.868E-07
392.811,1.5275E-06
395.811,7.1915E-07
398.811,3.0188E-06
401.811,8.9461E-09
404.811,6.4781E-09
407.811,-1.4193E-08
410.811,-3.3012E-08
413.811,2.8482E-06
416.811,2.3028E-06
419.811,3.3795E-06
424.811,1.234E-08
427.811,8.3916E-08
430.811,1.7893E-08
434.811,8.3916E-08
437.811,1.6351E-08
441.811,1.9744E-08
445.811,2.7758E-09
449.811,4.0723E-08
453.811,9.9033E-08
457.811,-9.2645E-10
