Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/11/2022 15:38:38
Elapsed Time,00:00:59:998
Samples,16626

--Statistics--
Minimum [W],-2.0856E-07
Maximum [W],4.0977E-06
Mean [W],8.0151E-07
Standard Deviation [W],1.1684E-06
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,2.0504E-06
3.000,9.6936E-07
6.000,2.0581E-06
9.000,9.4715E-07
12.000,8.1139E-08
15.000,3.4553E-08
18.000,1.0489E-08
21.000,-1.049E-08
24.000,3.0108E-06
27.000,1.8422E-06
31.000,1.4405E-06
35.000,3.0481E-06
39.000,3.301E-08
42.000,-4.1959E-08
45.000,7.0951E-09
48.000,-3.703E-09
52.000,3.1373E-06
55.000,3.3375E-06
59.000,2.6539E-06
62.000,2.577E-06
68.000,-2.1604E-09
71.000,-2.6842E-08
75.000,1.7585E-08
78.000,-7.7138E-09
82.000,1.3882E-08
86.000,2.9925E-08
88.905,-2.0054E-08
93.905,1.0489E-08
102.905,9.7707E-07
105.905,9.9497E-07
108.905,1.2205E-06
111.905,9.2555E-07
114.905,1.7308E-07
117.905,9.2468E-10
120.905,-1.5735E-08
123.905,-1.852E-09
126.905,-8.8237E-08
129.905,2.408E-06
132.905,1.9511E-06
136.905,2.7625E-06
139.905,3.7284E-06
142.905,9.749E-08
146.905,-2.6842E-08
150.905,5.8617E-08
154.905,-6.4797E-09
158.905,3.0179E-06
161.905,3.1824E-06
164.905,2.5724E-06
167.905,3.5387E-07
171.905,-1.1725E-08
174.905,2.3446E-08
179.905,2.7149E-08
183.905,-1.2342E-08
186.905,-7.4052E-09
190.905,2.1595E-08
194.905,1.7893E-08
198.905,1.7893E-08
203.905,6.232E-08
206.905,3.0764E-10
210.905,8.9439E-07
214.543,8.8945E-07
221.543,2.043E-06
235.543,-5.8626E-09
239.543,3.3477E-06
242.543,1.3476E-06
246.543,1.0397E-06
249.543,3.4862E-08
252.543,1.5417E-09
255.543,1.1631E-07
258.543,-6.1793E-10
261.543,3.6106E-06
264.543,2.7396E-06
267.543,2.9951E-06
270.543,2.8155E-06
273.543,2.9337E-06
276.543,2.4063E-08
279.543,7.4036E-09
282.543,-2.9618E-08
285.543,-5.8626E-09
288.543,1.2648E-08
291.543,-9.2645E-10
294.543,4.6269E-09
298.543,1.7585E-08
302.543,8.7001E-08
305.543,6.9416E-08
308.543,1.2332E-09
312.543,1.1292E-07
315.543,8.9254E-07
323.543,1.8671E-06
326.543,1.1048E-06
329.543,6.1696E-09
332.543,5.5525E-09
336.543,7.7122E-09
338.504,1.0921E-07
341.504,2.2793E-06
347.504,1.4112E-06
351.504,1.1847E-06
354.504,3.733E-08
357.504,1.8502E-09
361.504,-9.8734E-09
364.504,1.6968E-08
367.504,3.7105E-06
370.504,2.5974E-06
373.504,3.7513E-06
376.504,2.6446E-06
379.504,5.8617E-08
382.504,2.1595E-08
385.504,-4.9364E-08
388.504,1.851E-08
396.504,1.2957E-08
400.504,-8.9478E-09
404.504,-1.4501E-08
408.504,3.7014E-09
411.504,7.7745E-08
415.504,1.2332E-09
418.504,8.2806E-07
422.504,1.5666E-06
425.504,1.3695E-06
429.504,9.1012E-07
433.504,6.1616E-10
436.504,9.749E-08
440.504,2.067E-08
443.504,6.4781E-09
446.504,2.9007E-06
451.504,2.7291E-06
455.504,3.8262E-06
458.504,1.2711E-07
463.155,1.1199E-07
469.155,3.517E-08
475.155,2.6085E-06
478.155,3.754E-06
482.155,3.7306E-06
485.155,2.9685E-06
