Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/11/2022 15:44:34
Elapsed Time,00:00:59:997
Samples,17083

--Statistics--
Minimum [W],-2.4527E-07
Maximum [W],3.6214E-06
Mean [W],7.1944E-07
Standard Deviation [W],1.041E-06
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,3.0764E-10
3.000,1.3882E-08
6.000,8.0207E-09
9.000,1.0585E-06
12.000,8.3577E-07
15.000,2.9334E-06
21.000,9.5631E-09
24.000,8.4224E-08
27.000,3.0764E-10
30.000,2.2315E-06
33.000,3.2215E-06
36.000,2.3142E-06
39.000,3.2512E-06
42.000,1.0829E-07
45.000,-1.7895E-08
48.000,-2.7774E-09
51.000,1.1106E-08
54.000,-3.3012E-08
57.000,1.2957E-08
60.000,2.9617E-08
63.000,3.0764E-10
66.000,1.5734E-08
69.000,7.4036E-09
72.000,3.9799E-07
76.000,1.5225E-06
79.000,1.0227E-06
83.000,7.2717E-07
87.000,2.2829E-08
90.000,1.234E-08
94.000,3.0259E-06
98.000,2.4141E-06
101.000,3.2323E-06
104.000,9.8716E-09
108.000,9.4714E-08
111.000,7.4036E-09
118.253,2.9102E-06
128.253,5.7075E-08
131.253,2.3138E-08
135.253,7.4036E-09
140.253,1.9127E-08
144.253,-1.0799E-08
147.253,-2.7767E-08
150.253,1.018E-08
153.253,-2.715E-08
156.253,7.9875E-07
159.253,1.094E-06
162.253,6.8244E-07
165.253,1.4238E-06
168.253,3.0843E-09
171.253,1.2332E-09
174.253,-4.0115E-09
177.253,2.7443E-06
180.253,1.0116E-06
183.253,2.0285E-06
186.253,2.9562E-06
189.253,3.2393E-08
192.253,7.0951E-09
195.253,-9.2564E-09
198.253,1.7276E-08
202.253,2.7757E-06
205.253,2.6375E-06
209.253,2.4151E-06
212.253,1.0582E-07
216.253,1.3265E-08
219.253,8.9461E-09
223.253,1.4191E-08
226.253,2.8383E-08
230.253,1.1508E-07
233.253,-1.6352E-08
236.671,-1.2033E-08
241.671,-3.0853E-08
251.671,4.7141E-07
254.671,8.1139E-08
257.671,-2.7459E-08
260.671,5.3373E-08
263.671,2.3913E-06
266.671,8.1016E-07
269.671,1.2911E-06
275.671,3.7947E-08
279.671,6.1616E-10
282.671,-2.2831E-08
285.671,2.7307E-06
288.671,2.519E-06
291.671,2.6246E-06
294.671,-1.1416E-08
297.671,-1.6044E-08
300.671,-2.4065E-08
303.671,-8.3308E-09
306.671,1.7276E-08
309.671,-1.049E-08
312.671,-1.1725E-08
316.671,-5.5541E-09
319.671,7.682E-08
322.671,-2.0054E-08
326.671,7.0033E-07
329.671,1.8261E-06
332.671,1.0416E-06
336.671,-2.4682E-08
339.671,-4.32E-09
342.671,2.2829E-08
345.671,3.0843E-09
349.671,2.1531E-06
352.671,2.3102E-06
355.671,1.1036E-06
358.671,3.0764E-10
361.945,2.2829E-08
371.945,-1.2958E-08
379.945,7.682E-08
382.945,-7.7138E-09
385.945,2.7457E-08
388.945,2.8691E-08
391.945,3.0843E-09
394.945,7.8054E-08
397.945,1.4808E-08
400.945,6.4788E-08
403.945,-1.7278E-08
406.945,1.4808E-08
409.945,6.8367E-07
412.945,1.769E-06
415.945,7.0403E-07
418.945,1.8477E-06
421.945,2.5915E-08
424.945,-7.7138E-09
427.945,1.018E-08
430.945,3.5211E-06
433.945,2.7257E-06
437.945,1.0931E-06
440.945,1.2998E-06
445.945,6.4781E-09
449.945,4.3184E-09
452.945,2.3031E-06
455.945,3.1015E-06
