Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/11/2022 15:45:56
Elapsed Time,00:00:59:998
Samples,16956

--Statistics--
Minimum [W],-2.3108E-07
Maximum [W],3.506E-06
Mean [W],7.3016E-07
Standard Deviation [W],1.0116E-06
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,1.6691E-06
4.000,7.6327E-07
9.000,-1.3267E-08
13.000,7.0951E-09
17.000,2.0683E-06
21.000,2.0797E-06
25.000,2.267E-06
29.000,8.299E-08
34.000,3.733E-08
38.000,2.0843E-06
41.000,2.1223E-06
46.000,3.2607E-06
50.000,1.1106E-08
54.000,1.2001E-07
59.000,8.0207E-09
64.000,-3.3321E-08
68.000,-2.3757E-08
71.000,7.9597E-08
77.000,8.5521E-07
81.000,2.0563E-06
84.000,1.3371E-06
89.000,2.2829E-08
94.000,-1.5118E-08
98.000,9.7183E-07
101.000,8.8606E-07
105.000,1.8758E-07
109.000,8.3292E-09
113.000,1.0489E-08
117.000,2.2947E-06
121.277,2.8019E-06
126.277,-6.1793E-10
131.277,2.4372E-08
134.277,-6.1793E-10
138.277,1.9127E-08
142.277,9.2468E-10
146.277,-2.9618E-08
150.277,4.0723E-08
155.277,9.0334E-07
162.277,1.4312E-06
166.277,2.3755E-08
170.277,-1.5427E-08
174.277,-6.4797E-09
177.277,2.2904E-06
183.277,1.998E-06
187.277,8.3916E-08
192.277,-1.235E-09
195.277,2.1454E-06
199.277,1.9554E-06
203.277,2.039E-06
206.277,1.7893E-08
210.277,7.7745E-08
214.277,-7.4052E-09
217.277,1.8819E-08
222.277,1.4499E-08
226.277,7.4036E-09
230.277,1.851E-08
234.277,8.0492E-07
238.277,8.8791E-07
243.277,9.9034E-07
247.273,9.348E-08
251.273,7.4036E-09
254.273,2.3796E-06
258.273,2.6921E-06
262.273,9.4375E-07
267.273,9.132E-08
271.273,-2.1604E-09
275.273,2.1908E-06
279.273,2.1701E-06
284.273,-1.1725E-08
288.273,4.2266E-08
293.273,-6.1711E-09
297.273,1.0489E-08
301.273,3.8872E-08
305.273,-1.7895E-08
309.273,1.8202E-08
313.273,1.1508E-06
317.273,1.1329E-06
322.273,7.7129E-07
327.273,-2.5608E-08
331.273,-4.9371E-09
334.273,1.5272E-06
339.273,1.1026E-06
343.273,-5.0906E-08
347.273,6.4781E-09
351.273,-2.6842E-08
355.273,2.4206E-06
359.273,2.2315E-06
362.273,4.0099E-09
367.273,3.4862E-08
371.609,8.6384E-08
375.609,-5.7385E-08
379.609,2.7758E-09
383.609,1.6042E-08
388.609,4.1032E-08
392.609,1.1471E-06
395.609,1.8974E-06
399.609,1.5127E-06
403.609,-8.0223E-09
407.609,5.0904E-08
411.609,8.9461E-09
418.609,2.4684E-06
422.609,-1.4501E-08
426.609,-2.3757E-08
430.609,9.3171E-08
434.609,2.1223E-06
438.609,2.101E-06
442.609,-2.5916E-08
446.609,-7.0967E-09
450.609,2.4989E-08
454.609,1.9127E-08
460.609,9.2546E-09
464.609,2.9308E-08
468.609,1.0119E-07
473.609,1.1292E-06
477.609,1.2288E-06
481.609,-1.4501E-08
484.609,1.3574E-08
488.609,3.3319E-08
492.609,2.7733E-06
497.853,2.0893E-06
504.853,2.2521E-08
508.853,2.4063E-08
512.853,2.7359E-06
516.853,3.1793E-06
520.853,2.9858E-06
524.853,4.9355E-09
528.853,3.0764E-10
534.853,-2.9001E-08
538.853,-4.8129E-08
542.853,-9.2564E-09
546.853,2.8383E-08
550.853,4.5691E-07
