Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/12/2022 11:45:02
Elapsed Time,00:00:59:995
Samples,20539

--Statistics--
Minimum [W],-2.5021E-07
Maximum [W],3.2962E-06
Mean [W],7.7013E-07
Standard Deviation [W],1.0121E-06
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,1.4365E-06
8.000,1.0378E-06
11.000,1.2332E-09
14.000,9.9342E-08
18.000,1.4488E-06
22.000,2.4617E-06
25.000,4.1927E-07
28.000,8.3607E-08
31.000,-1.049E-08
34.000,1.3882E-08
36.000,3.1577E-06
39.000,2.0162E-06
41.000,2.259E-06
44.000,3.1731E-06
47.000,6.1696E-09
49.000,6.8798E-08
52.000,7.0951E-09
55.000,2.067E-08
59.000,1.0304E-07
62.000,1.2957E-08
65.000,-3.4555E-08
68.000,2.5298E-08
70.000,6.1696E-09
73.000,2.4063E-08
76.000,7.8795E-07
79.000,1.6786E-06
82.000,1.1788E-06
84.000,1.0696E-06
87.000,-1.852E-09
90.000,-4.597E-08
93.000,6.1616E-10
96.000,4.8436E-08
99.000,1.4173E-06
101.000,2.7011E-06
104.000,2.4691E-06
107.000,-2.3757E-08
110.000,-1.2958E-08
112.000,-4.2576E-08
115.133,2.4989E-08
121.133,2.0436E-06
124.133,2.0288E-06
127.133,2.544E-06
129.133,-1.4193E-08
132.133,-6.4797E-09
135.133,9.2554E-08
137.133,1.7276E-08
140.133,-8.825E-13
143.133,2.0053E-08
145.133,2.2829E-08
148.133,-5.1832E-08
151.133,-2.7774E-09
153.133,1.3882E-08
156.133,-2.1604E-09
159.133,1.2523E-06
161.133,2.1528E-06
164.133,9.7831E-07
167.133,2.1251E-06
170.133,7.7122E-09
173.133,2.067E-08
175.133,1.8502E-09
178.133,2.0044E-06
181.133,2.6662E-06
183.133,2.54E-06
186.133,1.8582E-06
189.133,3.3929E-09
192.133,7.7122E-09
194.133,7.5277E-08
199.133,2.0396E-06
202.133,2.6822E-06
205.133,2.0186E-06
208.133,2.288E-06
211.133,6.633E-08
213.133,2.3446E-08
216.133,1.018E-08
219.133,1.1353E-07
222.133,1.4191E-08
224.133,8.7618E-08
227.133,1.6042E-08
230.133,-4.0115E-09
232.133,9.7182E-08
235.133,-3.5789E-08
238.133,1.2495E-07
241.050,1.2236E-06
248.050,1.3026E-06
251.050,-1.852E-09
253.050,-1.4193E-08
256.050,3.517E-08
259.050,3.2702E-08
262.050,1.4238E-06
265.050,1.9853E-06
267.050,2.5138E-06
270.050,1.086E-07
273.050,2.067E-08
275.050,-3.147E-08
278.050,6.7866E-09
281.050,2.001E-06
283.050,2.3722E-06
286.050,2.4521E-06
289.050,2.2367E-06
292.050,1.7893E-08
295.050,3.301E-08
298.050,1.851E-08
301.050,-1.235E-09
304.050,6.6022E-08
307.050,5.9234E-08
309.050,5.6766E-08
312.050,-4.0115E-09
315.050,5.244E-09
318.050,1.0489E-08
321.050,1.48E-06
324.050,9.7244E-07
327.050,2.1204E-06
329.050,9.9188E-07
332.050,3.1159E-08
335.050,1.8502E-09
338.050,-4.0115E-09
340.050,1.4808E-08
343.050,2.3151E-06
346.050,1.4189E-06
349.050,2.146E-06
351.050,1.1178E-06
354.050,1.0489E-08
357.050,1.3574E-08
360.050,7.7128E-08
363.260,2.0337E-06
366.260,3.1571E-06
373.260,1.5734E-08
376.260,-5.5541E-09
378.260,2.7766E-08
381.260,1.0797E-08
384.260,-2.7767E-08
386.260,-7.096E-08
389.260,7.4036E-09
392.260,-1.5735E-08
