Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/12/2022 11:54:37
Elapsed Time,00:00:59:998
Samples,20469

--Statistics--
Minimum [W],-1.3914E-07
Maximum [W],2.7227E-06
Mean [W],6.8616E-07
Standard Deviation [W],8.8731E-07
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,1.6003E-06
5.000,1.5425E-08
8.000,-2.3448E-08
10.000,1.5506E-06
13.000,2.5058E-06
16.000,1.4278E-06
19.000,-9.4099E-08
22.000,9.2546E-09
24.000,1.9436E-08
27.000,4.3191E-08
30.000,1.018E-08
33.000,3.9489E-08
36.000,-1.3884E-08
38.000,9.5631E-09
41.000,5.5532E-08
44.000,1.8178E-06
47.000,1.4328E-06
49.000,2.433E-06
52.000,1.3334E-06
55.000,2.5298E-08
57.000,1.2031E-08
60.000,-5.4917E-08
63.000,2.0587E-06
66.000,1.919E-06
68.000,1.3041E-06
71.000,1.2094E-07
74.000,9.2546E-09
76.000,-5.2456E-09
79.000,1.6271E-06
82.000,2.5866E-06
85.000,1.4707E-06
87.000,2.1904E-08
90.000,1.4499E-08
93.000,7.7437E-08
96.000,1.7585E-08
99.000,5.5525E-09
101.000,2.0361E-08
104.000,-5.2456E-09
107.000,3.0234E-08
110.430,1.1723E-08
113.430,1.5577E-06
116.430,1.5704E-06
118.430,2.2293E-06
121.430,1.3621E-06
124.430,2.3138E-08
127.430,1.1414E-08
130.430,9.7522E-07
132.430,1.3831E-06
135.430,1.5796E-06
138.430,2.4391E-06
141.430,-1.9437E-08
143.430,5.5525E-09
146.430,7.7122E-09
150.430,2.4962E-06
153.430,1.45E-06
156.430,-3.0544E-08
159.430,1.1414E-08
162.430,8.3292E-09
164.430,2.1588E-09
167.430,1.6351E-08
170.430,-3.3944E-09
173.430,7.4036E-09
175.430,-1.6044E-08
178.430,-6.4797E-09
181.430,-1.882E-08
183.430,1.2782E-06
186.430,1.6598E-06
189.430,1.794E-06
192.430,2.6532E-08
195.430,8.515E-08
198.430,-1.9437E-08
200.430,2.4752E-06
203.430,1.4096E-06
206.430,1.5429E-06
209.430,1.4808E-08
211.430,9.8716E-09
214.430,1.3574E-08
217.430,1.6546E-06
219.430,2.5718E-06
222.430,1.4176E-06
225.430,1.0088E-07
227.430,8.3292E-09
230.430,1.3882E-08
233.430,1.8202E-08
235.754,2.7758E-09
238.754,-5.1832E-08
241.754,3.0764E-10
244.754,9.8716E-09
246.754,-1.9437E-08
249.754,1.0675E-07
252.754,1.2523E-06
255.754,1.5188E-06
260.754,2.0978E-08
262.754,1.3574E-08
265.754,3.3319E-08
268.754,1.5423E-06
271.754,2.5653E-06
273.754,1.3026E-06
276.754,2.1588E-09
279.754,1.6968E-08
282.754,9.2546E-09
285.754,1.7218E-06
287.754,2.5443E-06
290.754,1.4176E-06
293.754,1.3574E-08
295.754,-2.3757E-08
298.754,8.9461E-09
301.754,-4.0115E-09
303.754,-6.1711E-09
306.754,2.6223E-08
309.754,1.6351E-08
312.754,-9.2645E-10
315.754,9.3788E-08
317.754,3.7014E-09
320.754,1.6191E-06
323.754,1.3201E-06
326.754,2.1106E-06
328.754,1.1878E-07
331.754,1.4499E-08
334.754,-1.235E-09
336.754,1.4543E-06
339.754,2.1649E-06
342.754,1.6681E-06
345.754,-1.1725E-08
347.754,8.0214E-08
350.754,9.5631E-09
353.754,1.6536E-06
355.754,1.4648E-06
358.646,2.2485E-06
361.646,8.0029E-07
364.646,5.5525E-09
366.646,1.9127E-08
370.646,1.5734E-08
