Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,P2001190
Sensor,S120C
Sensor SN,220803517
Sensor Type,Photodiode
Wavelength,635 nm
Range,Auto,range changed during the measurement.

Start of Measurement,8/12/2022 11:50:21
Elapsed Time,00:00:59:999
Samples,20751

--Statistics--
Minimum [W],-2.5761E-07
Maximum [W],2.6826E-06
Mean [W],5.5555E-07
Standard Deviation [W],7.4005E-07
Ratio,---

--Graph Data--
Time (ms),Power (W)
0.000,7.7122E-09
2.000,-7.0967E-09
5.000,-5.4917E-08
8.000,-1.3884E-08
11.000,8.1448E-08
13.000,-2.9927E-08
16.000,9.8716E-09
19.000,1.4499E-08
21.000,-5.8626E-09
24.000,1.5771E-06
27.000,1.4651E-06
29.000,2.3784E-06
32.000,1.3516E-06
35.000,2.3138E-08
38.000,8.2065E-08
40.000,3.4245E-08
43.000,1.2492E-06
46.000,1.8326E-06
48.000,9.3326E-07
51.000,1.5719E-06
54.000,3.3929E-09
57.000,8.9461E-09
59.000,2.1595E-08
62.000,1.3544E-06
65.000,1.1171E-06
68.000,1.9788E-06
71.000,8.8297E-07
74.000,2.4673E-09
77.000,9.0086E-08
80.000,1.5425E-08
83.000,-3.2087E-08
85.000,9.8716E-09
88.000,1.851E-08
91.000,1.8502E-09
93.000,-1.6661E-08
96.000,1.5417E-09
98.534,8.0207E-09
102.534,1.4763E-06
104.534,1.355E-06
107.534,1.6546E-06
110.534,-3.3012E-08
113.534,-1.0182E-08
116.534,1.0675E-07
119.534,5.7754E-07
121.534,1.2766E-06
124.534,1.3232E-06
127.534,1.3738E-06
129.534,1.6042E-08
132.534,-1.4501E-08
135.534,-3.4555E-08
137.534,4.6277E-08
140.534,1.3504E-06
143.534,9.4252E-07
145.534,1.4112E-06
148.534,1.1538E-07
151.534,7.9288E-08
153.534,-1.9746E-08
156.534,1.1106E-08
159.534,6.1616E-10
161.534,6.1616E-10
164.534,1.3574E-08
167.534,1.5734E-08
170.534,8.7309E-08
173.534,1.9744E-08
175.534,-2.7774E-09
180.534,1.7851E-06
183.534,1.4155E-06
186.534,8.5798E-07
188.534,-1.481E-08
191.534,1.2031E-08
194.534,3.3929E-09
196.534,1.2637E-06
199.534,1.3288E-06
202.534,9.7676E-07
205.534,1.6839E-06
208.534,9.5631E-09
210.534,1.5734E-08
213.534,-8.9478E-09
216.534,1.1557E-06
219.534,1.2236E-06
222.534,1.1057E-06
224.820,-1.7586E-08
227.820,9.2468E-10
230.820,2.4673E-09
233.820,-3.094E-10
236.820,1.8502E-09
239.820,9.8725E-08
241.820,-1.4501E-08
244.820,3.0764E-10
247.820,2.1904E-08
250.820,2.067E-08
252.820,1.4232E-06
255.820,1.4655E-06
258.820,2.0726E-06
261.820,1.3615E-06
263.820,-8.825E-13
266.820,2.1588E-09
269.820,-4.0725E-08
272.820,9.0642E-07
274.820,2.4981E-06
277.820,1.0206E-06
280.820,1.3584E-06
283.820,1.1014E-07
286.820,6.5405E-08
288.820,-4.6285E-09
291.820,1.2162E-06
294.820,9.4159E-07
296.820,1.8098E-06
299.820,1.0598E-06
302.820,7.8671E-08
304.820,6.232E-08
307.820,1.6042E-08
310.820,1.9127E-08
313.820,1.2031E-08
316.820,2.4989E-08
319.820,5.5525E-09
321.820,-2.6225E-08
324.820,1.4191E-08
327.820,-3.8565E-08
329.820,1.5722E-06
332.820,1.4664E-06
335.820,2.1516E-06
337.820,1.753E-06
340.820,2.3755E-08
343.820,5.244E-09
346.820,-1.882E-08
350.507,1.0249E-06
354.507,1.6972E-06
357.507,1.7508E-06
360.507,2.4989E-08
363.507,6.7866E-09
366.507,6.4781E-09
